GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Speed (OBD)(km/h),Trip Distance(km),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Engine RPM(rpm),Throttle Position(Manifold)(%),Unnamed: 18,11749
Sun Mar 31 11:02:33 GMT+02:00 2019,2019-03-31 11:02:32.995000,7.49046159,44.64949245,0.44,4.288,397,158.2,0.39567566,9.368622,2.3970032,0.0055947304,0,0.00127652776427567,0.575491964817047,0.175763919949531,797.5,14.5098037719726,,
Sun Mar 31 11:02:33 GMT+02:00 2019,2019-03-31 11:02:33.095000,7.49046159,44.64949245,0.44,4.288,397,158.2,1.6047516,8.9664,3.1751251,0.00010852019,0,0.00127652776427567,0,0.175763919949531,797.5,14.5098037719726,,
Sun Mar 31 11:02:33 GMT+02:00 2019,2019-03-31 11:02:33.196000,7.49046159,44.64949245,0.44,4.288,397,158.2,1.4826508,9.205826,3.0027313,-0.00039742788,0,0.00127652776427567,0,0.175763919949531,603,14.5098037719726,,
Sun Mar 31 11:02:33 GMT+02:00 2019,2019-03-31 11:02:33.295000,7.49046159,44.64949245,0.44,4.288,397,158.2,0.64945984,9.294403,2.6388245,0.006109953,0,0.00127652776427567,0,0.175763919949531,603,14.5098037719726,,
Sun Mar 31 11:02:33 GMT+02:00 2019,2019-03-31 11:02:33.396000,7.49046159,44.64949245,0.44,4.288,397,158.2,1.6047516,9.227371,3.2780762,0.030516088,0,0.00127652776427567,0,0.175763919949531,603,16.470588684082,,
Sun Mar 31 11:02:34 GMT+02:00 2019,2019-03-31 11:02:33.496000,7.49047569,44.64949968,0,4.288,398,0,1.305481,9.014282,3.3977814,0.015299633,0,0.00127652776427567,0,0.175383478403091,603,16.470588684082,,
Sun Mar 31 11:02:34 GMT+02:00 2019,2019-03-31 11:02:33.596000,7.49047569,44.64949968,0,4.288,398,0,0.87213135,9.033432,3.407364,0.009942915,0,0.00127652776427567,0,0.175383478403091,748,16.470588684082,,
Sun Mar 31 11:02:34 GMT+02:00 2019,2019-03-31 11:02:33.696000,7.49047569,44.64949968,0,4.288,398,0,0.9607086,9.052597,2.8710632,-0.007968187,1,0.00127652776427567,0,0.175383478403091,748,16.470588684082,,
Sun Mar 31 11:02:34 GMT+02:00 2019,2019-03-31 11:02:33.796000,7.49047569,44.64949968,0,4.288,398,0,0.72369385,9.050201,3.1846924,0.0020198424,1,0.00127652776427567,0,0.175383478403091,748,16.8627452850341,,
Sun Mar 31 11:02:34 GMT+02:00 2019,2019-03-31 11:02:33.896000,7.49047569,44.64949968,0,4.288,398,0,1.0397186,9.078934,3.3187714,0.00075406296,1,0.00127652776427567,0.509399056434631,0.175383478403091,748,16.8627452850341,,
Sun Mar 31 11:02:34 GMT+02:00 2019,2019-03-31 11:02:33.997000,7.49047569,44.64949968,0,4.288,398,0,1.2456207,9.428482,2.3587036,0.0038887626,1,0.00127652776427567,0.509399056434631,0.175383478403091,932.5,16.8627452850341,,
Sun Mar 31 11:02:34 GMT+02:00 2019,2019-03-31 11:02:34.096000,7.49047569,44.64949968,0,4.288,398,0,1.1187286,9.30159,3.2397614,0.029497445,2,0.00144402775913476,0.509399056434631,0.175383478403091,932.5,16.8627452850341,,
Sun Mar 31 11:02:34 GMT+02:00 2019,2019-03-31 11:02:34.196000,7.49047569,44.64949968,0,4.288,398,0,0.8314209,9.234558,2.9859772,0.018865492,2,0.00144402775913476,0.509399056434631,0.175383478403091,932.5,16.8627452850341,,
Sun Mar 31 11:02:34 GMT+02:00 2019,2019-03-31 11:02:34.296000,7.49047569,44.64949968,0,4.288,398,0,1.0828094,8.942459,2.5478363,0.008911054,2,0.00144402775913476,0.91937655210495,0.207731008529663,932.5,16.8627452850341,,
Sun Mar 31 11:02:34 GMT+02:00 2019,2019-03-31 11:02:34.395000,7.49047569,44.64949968,0,4.288,398,0,1.1235199,9.021469,3.4289093,0.009449184,2,0.00144402775913476,0.91937655210495,0.207731008529663,1033,16.8627452850341,,
Sun Mar 31 11:02:35 GMT+02:00 2019,2019-03-31 11:02:34.496000,7.49048182,44.64950679,0.63,4.288,398,41.4,0.982254,8.815567,4.2596893,0.022049725,4,0.00176652777008712,0.91937655210495,0.207731008529663,1033,16.8627452850341,,
Sun Mar 31 11:02:35 GMT+02:00 2019,2019-03-31 11:02:34.596000,7.49048182,44.64950679,0.63,4.288,398,41.4,1.6167297,8.968796,2.9979553,0.009958808,4,0.00176652777008712,0.91937655210495,0.207731008529663,1033,16.8627452850341,,
Sun Mar 31 11:02:35 GMT+02:00 2019,2019-03-31 11:02:34.696000,7.49048182,44.64950679,0.63,4.288,398,41.4,1.9088135,8.7221985,2.7441711,0.0029858483,4,0.00176652777008712,0.91937655210495,0.207731008529663,1033,16.8627452850341,,
Sun Mar 31 11:02:35 GMT+02:00 2019,2019-03-31 11:02:34.795000,7.49048182,44.64950679,0.63,4.288,398,41.4,2.0261383,8.592911,1.9875946,-0.058520555,4,0.00176652777008712,1.63074135780334,0.207731008529663,1033,16.8627452850341,,
