GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Speed (OBD)(km/h),Litres Per 100 Kilometer(Instant)(l/100km),GPS Altitude(m),Engine RPM(rpm),Trip Distance(km),Acceleration Sensor(Total)(g)
Tue Mar 26 17:00:13 GMT+01:00 2019,26-Mar-2019 17:01:43.365,7.641743215669132,45.02905953698157,7.782968,24.0,252.27250041043257,222.43481,-0.6380547,8.403648,3.582923,-0.011966999,33.0,5.4819536209106445,252.27250041043257,0.0,3.977630376815796,-0.011966998688876629
Tue Mar 26 17:00:14 GMT+01:00 2019,26-Mar-2019 17:01:44.364,7.641648673382133,45.02898523530267,8.393306,8.0,251.4942524111222,217.87802,-0.1340753,9.15423,3.6643257,-0.012936433,34.0,5.315833568572998,251.4942524111222,0.0,3.986945152282715,-0.012936432845890522
Tue Mar 26 17:00:15 GMT+01:00 2019,26-Mar-2019 17:01:45.365,7.641563925988738,45.02891017492871,8.873141,8.0,250.74112382273717,220.10722,0.5303157,7.571663,3.015497,-0.14845318,36.0,5.159485340118408,250.74112382273717,0.0,3.9966673851013184,-0.14845317602157593
Tue Mar 26 17:00:16 GMT+01:00 2019,26-Mar-2019 17:01:46.365,7.641485004550072,45.02884361079644,9.277351,16.0,250.2845707281571,218.26736,-0.18794483,8.955511,3.9217024,0.01577431,37.0,4.872847557067871,250.2845707281571,0.0,4.005772113800049,0.015774309635162354
Tue Mar 26 17:00:17 GMT+01:00 2019,26-Mar-2019 17:01:47.364,7.641408846676842,45.02877518192581,9.705791,16.0,249.95869748233076,217.51749,-0.41180268,8.039729,3.867833,0.012247733,37.0,4.741148948669434,249.95869748233076,0.0,4.015998363494873,0.01224773284047842
Tue Mar 26 17:00:18 GMT+01:00 2019,26-Mar-2019 17:01:48.364,7.641330498683553,45.0287027003137,10.04435,16.0,249.741586326543,217.6247,-0.22864626,8.9998045,3.8738184,0.014551477,37.0,4.741148948669434,249.741586326543,0.0,4.026286602020264,0.014551476575434208
Tue Mar 26 17:00:19 GMT+01:00 2019,26-Mar-2019 17:01:49.365,7.64125123389205,45.028629448753705,9.921803,12.0,249.68937979288592,219.31741,-0.7398083,9.588778,4.4280763,-0.008394309,37.0,4.741148948669434,249.68937979288592,0.0,4.035557270050049,-0.00839430931955576
Tue Mar 26 17:00:20 GMT+01:00 2019,26-Mar-2019 17:01:50.365,7.641167555796552,45.028556634220934,9.833408,12.0,249.92155170249828,221.3522,-0.842759,9.118318,3.98874,0.03716439,37.0,4.741148948669434,249.92155170249828,0.0,4.045804023742676,0.037164390087127686
Tue Mar 26 17:00:21 GMT+01:00 2019,26-Mar-2019 17:01:51.365,7.64107871162504,45.02848468680094,9.954838,12.0,250.2902248435538,223.84012,-0.142455,9.105149,4.24492,0.024239168,37.0,4.741148948669434,250.2902248435538,0.0,4.056081771850586,0.02423916757106781
Tue Mar 26 17:00:22 GMT+01:00 2019,26-Mar-2019 17:01:52.365,7.640984181793374,45.028414325184535,10.148588,12.0,250.6567583602617,223.61932,0.7721301,8.9279785,4.0282445,0.033821277,36.0,4.741148948669434,250.6567583602617,0.0,4.065196514129639,0.03382127732038498
